text1,text2
J’ai passé commande de plusieurs articles un samedi : 4 essuie-glaces Deux disques de freins Un jeu de plaquettes et Deux roulements de roue J’ai été livré en trois fois 1)les roulements les plaquettes et 3 essuie-glaces 2)un essuie-glace 3)Enfin les disques 10 jours après la commande À chaque fois obligé de me déplacer au point relais à 20 km de chez moi Contacté Oscaro qui n’a comme réponse que « il faut attendre » Très déçu ! À la commande tout est disponible et donc pouvait être expédié en un seul colis J’ai également un retour dont j’attends le remboursement depuis 2 semaines Appelé Oscaro : Le colis est perdu on fait une enquête ! A l’heure d’aujourd’hui toujours en attente de remboursement Le service Oscaro régresse de plus en plus Même pas la courtoisie d’un geste commercial comme la livraison gratuite à la prochaine commande Je met 2 étoiles pour rester correct et pour le bon fonctionnement d’y il a maintenant plusieurs années déjà Franchement déçu,"J'ai passé commande pour plusieurs articles un samedi: 4 essuie-glaces Deux disques de frein Un ensemble de plaquettes et deux roulements de roue J'ai été livré en trois fois 1) les roulements les plaquettes et 3 essuie-glaces 2) un essuie-glaces 3)Finalement les disques 10 jours après la commande Chaque fois que j'ai dû passer au point relais à 20 km de ma maison Contacted Oscaro qui a comme une réponse que ""vous devez attendre"" Très déçu! À la commande tout est disponible et donc pourrait être expédié dans un seul paquet j'ai également eu un retour que j'attendais le remboursement depuis 2 semaines Called Oscaro: Le colis est perdu nous faisons une enquête! À l'heure d'aujourd'hui encore attendre le remboursement du service Oscaro tombe de plus en plus même pas la courtoisie d'un geste commercial comme la livraison gratuite à la prochaine commande j'ai mis 2 étoiles pour rester correct et pour le bon fonctionnement de celui-ci a maintenant plusieurs années déjà Frankly déçu"
Rapidité et efficacité,Vitesse et efficacité
Choix rapide et livraison,Choix et livraison rapides
"Recherche de pièces, sonde lambda, facile sur le site, commande faite, mais livraison super rapide aussi. Merci ! Montage ds la foulée, tout fonctionne","Recherche de pièces, sonde lambda, facile sur place, commande faite, mais livraison super rapide aussi. Merci! Montage ds la marche, tout fonctionne"
Réception de la commande plus tôt que prévu,Réception de la commande plus tôt que prévu
"Suite à mon dernier avis : « Bonjour Sami, Le coupon sera envoyé sous 12 à 24h par mes responsables via votre adresse email » C’était il y a 10 jours, j’ai relancé 3 fois aucune réponse, bref c’est juste pour que ceux qui lisent ne s’imaginent pas qu’ils ont fait un quelconque geste, j’ai toujours mon embrayage à + de 400€ qui fait le bruit d’un tracteur et ils ne veulent rien savoir. Édit : ah oui effectivement c’est tellement peu que j’ai cru que c’était un message global, bah merci pour les 30€ ça m’a payé même pas 5% de la facture c’est top changez rien","Après ma dernière critique : ""Hello Sami, Le coupon sera envoyé dans les 12 à 24 heures par mes fonctionnaires via votre adresse e-mail"" C'était il y a 10 jours, j'ai relancé 3 fois aucune réponse, bref c'est juste pour que ceux qui lisent n'imaginent pas qu'ils ont fait un geste, j'ai toujours eu mon embrayage à + 400€ qui fait le bruit d'un tracteur et ils ne veulent rien savoir. Edit : ah oui oui c'est si peu que je pensais que c'était un message global, bien merci pour les 30€ qu'il a payé pas même 5% de la facture c'est top ne change rien"
Ras très bonne expérience livraison correcte et rapide,Ras très bonne expérience livraison correcte et rapide
"Colis mal emballé, le colis est arrivé tout ouvert heureusement que le livreur était sérieux, il y avait que le carton avec les pièce dedans, sans suremballage, dommage car sinon rien à dire sur l'expérience d'achats sur votre site, livraison rapide !","Package mal emballé, le paquet est arrivé tout ouvert heureusement que la personne de livraison était sérieuse, il n'y avait que le carton avec les pièces dedans, sans suremballage, dommages parce que autrement rien à dire sur l'expérience d'achat sur votre site, livraison rapide!"
"prix compétitif , produits de bonne qualités et livré en temps et en heure très bien .","prix compétitif, des produits de bonne qualité et livré à temps et à temps très bien."
Achat d'essuie glace Bosch pour un SUV Ateca. J'ai saisi le numéro d'immat et directement j'ai choisi la référence correspondante. Pas du souci de payement ou de livraison. Délai respecté simple comme bonjour...,Acheté essuie-glace Bosch pour un VUS Ateca. J'ai entré le numéro immat et directement j'ai choisi la référence correspondante. Pas de soucis de paiement ou de livraison. Temps respecté simple comme bonjour...
"J ai commandé des pièces pour faire un entretien courant , j ai reçu un filtre à gasoil dans un emballage détérioré, sale , les bouchons sur les arrivées se baladaient dans l emballage... pour une pièce où il fait un minimum de soin et de propreté...","J'ai commandé des pièces pour faire un entretien de routine, j'ai reçu un filtre diesel dans un emballage détérioré, sale, les bouchons à l'arrivée tournaient dans l'emballage... pour une pièce où il fait un minimum de soin et de propreté..."
"Très bien, service au top 👍","Très bien, service haut de gamme."
"Quand je choisi les produits, délais de livraison sous 48h, quand on passe à la commande c'est 5 à 6 jours. On ne peut annuler une commande si elle est en préparation, et elle y passe 2 min après validation, l'argent lui est encaissé. La commande passe 3 jours en préparation et 3 jour en transport. 5.99 de frais de port pour 6 jours de livraison. C'est hallucinant. 1ere et dernière fois","Lorsque je choisis les produits, les délais de livraison dans les 48 heures, lorsque vous passez la commande est de 5 à 6 jours. Vous ne pouvez pas annuler une commande si elle est en préparation, et il passe 2 minutes après la validation, l'argent est encaissé à elle. La commande passe 3 jours en préparation et 3 jours en transport."
"Produit conforme, je constate juste que les prix ont bien augmentés.","Le produit est conforme, je trouve juste que les prix ont bien augmenté."
Facile pour commander et envoi très rapide👍,Facile à commander et envoyer très rapidement
Article conforme à la description et envoi très rapide. Parfait!!,L'article est conforme à la description et l'envoi très rapide. Parfait!
Efficacité rapidité,Efficacité rapide
Pièce non conforme Mélange de lève vitre droit et gauche Impossible a monter en l'état Je suis bon pour en acheter un autre mais pas chez vous Dommage,Pièce non conforme Mélange de lève-vitre droit et gauche Ne peut pas se lever dans l'état je suis bon pour acheter un autre mais pas à la maison Dommages
Article arrivé rapidement mais surcoût de l Envoi obligé. Il faudrait pouvoir se faire livrer dans des locker relais colis,Article est arrivé rapidement mais des frais supplémentaires d'expédition forcée. Nous devrions être en mesure d'être livrés dans les colis de relais de casiers
"Ma commande correspond bien à ma voiture, pas d'erreur. Tout est nickel.","Ma commande va bien avec ma voiture, pas d'erreur."
"J'ai commandé un phare neuf, il est arrivé cassé car l'angle en pointe du phare était dans l'angle du carton. aucune protection et forcément du plastique aussi fragile... ça casse. Comment faire pour avoir un échange ou un remboursement ?","J'ai commandé un nouveau phare, il est venu cassé parce que le coin de pointe du phare était dans le coin du carton. Pas de protection et nécessairement ce plastique fragile... il casse. Comment obtenir un échange ou un remboursement?"
Pour ma première commande RAS en temps et en heure prix correct,Pour ma première commande RAS dans le bon temps et le bon prix
